Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI,Title
glycine,increased,blood,,17-85,Humans,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C00037,No result,5257127,Glycine,C2H5NO2,75.032,Amino acids,HMDB0000123,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
caprate (10:0),increased,blood,,17-85,Humans,LJGMGXXCKVFFIS-UHFFFAOYSA-N,No result,No result,4225619,Capric acid,C10H20O2,172.1463,Saturated FA,HMDB0003603,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
octadecanedioate,increased,blood,,17-85,Humans,BNJOQKFENDDGSC-UHFFFAOYSA-N,No result,LMFA01170029,70095,Octadecanedioic acid,C18H34O4,314.2457,Dicarboxylic acids,HMDB0000782,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
hexadecanedioate,increased,blood,,17-85,Humans,QQHJDPROMQRDLA-UHFFFAOYSA-L,No result,No result,7058076,Hexadecanedioic acid,C16H30O4,286.2144,Dicarboxylic acids,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
butyrylcarnitine,increased,blood,,17-85,Humans,QWYFHHGCZUCMBN-SECBINFHSA-N,No result,LMFA07070003,213144,CAR 4:0,C11H21NO4,231.1471,Acyl carnitines,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
cis-4-decenoyl carnitine,increased,blood,,17-85,Humans,OQWOHRPOYAVIOK-UHFFFAOYSA-N,No result,No result,57357170,CAR 10:1,C17H31NO4,313.2253,Acyl carnitines,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
malate,increased,blood,,17-85,Humans,BJEPYKJPYRNKOW-UHFFFAOYSA-N,C00711,No result,20130941,D-Malic acid,C4H6O5,134.0215,Beta hydroxy acids,HMDB0000744,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
ornithine,increased,blood,,17-85,Humans,AHLPHDHHMVZTML-BYPYZUCNSA-N,C00077,No result,6262,Ornithine,C5H12N2O2,132.0899,Amino acids,HMDB0000214,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
2-methylbutyroylcarnitine,increased,blood,,17-85,Humans,IHCPDBBYTYJYIL-UHFFFAOYSA-N,No result,No result,6426901,CAR 4:0;2Me,C12H23NO4,245.1627,Acyl carnitines,HMDB0000378,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
1-stearoylglycerophosphoethanolamine,increased,blood,,17-85,Humans,BBYWOYAFBUOUFP-JOCHJYFZSA-N,No result,LMGP02050001,46891690,LPE 18:0/0:0,C23H48NO7P,481.3168,LPE,HMDB0011130,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
pyridoxate,increased,blood,,17-85,Humans,VJZTVPVXKYQRJZ-UHFFFAOYSA-M,No result,No result,54718173,4-Pyridoxic acid,C8H9NO4,183.0532,Pyridinecarboxylic acids,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
allantoin,increased,blood,,17-85,Humans,POJWUDADGALRAB-UHFFFAOYSA-N,C01551,No result,204,Allantoin,C4H6N4O3,158.044,Ureides,HMDB0000462,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
scyllo-inositol,increased,blood,,17-85,Humans,CDAISMWEOUEBRE-UHFFFAOYSA-N,No result,No result,892,Myo-inositol,C6H12O6,180.0634,Inositols,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
nonadecanoate (19:0),increased,blood,,17-85,Humans,ISYWECDDZWTKFF-UHFFFAOYSA-N,C16535,LMFA01010019,12591,Nonadecenoic acid,C19H36O2,296.2715,Unsaturated FA,HMDB0000772,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
tetradecanedioate,increased,blood,,17-85,Humans,HQHCYKULIHKCEB-UHFFFAOYSA-L,No result,No result,7057923,Tetradecanedioic acid,C14H26O4,258.1831,Dicarboxylic acids,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
paraxanthine,increased,blood,,17-85,Humans,QUNWUDVFRNGTCO-UHFFFAOYSA-N,C13747,No result,4687,Paraxanthine,C7H8N4O2,180.0647,Xanthines,HMDB0001860,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
10-nonadecenoate (19:1n9),increased,blood,,17-85,Humans,BBOWBNGUEWHNQZ-MDZDMXLPSA-M,No result,No result,57455225,Nonadeca-10Z-enoic acid,C19H36O2,296.2715,Unsaturated FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
cysteine,increased,blood,,17-85,Humans,XUJNEKJLAYXESH-REOHCLBHSA-N,C00097,No result,5862,Cysteine,C3H7NO2S,121.0198,Amino acids,HMDB0000574,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
alanine,increased,blood,,17-85,Humans,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C00041,No result,5950,Alanine,C3H7NO2,89.0477,Amino acids,HMDB0000161,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
N-acetylglycine,increased,blood,,17-85,Humans,OKJIRPAQVSHGFK-UHFFFAOYSA-N,No result,No result,10972,N-Acetylglycine,C4H7NO3,117.0426,Amino acids,HMDB0000532,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
margarate (17:0),increased,blood,,17-85,Humans,HUEBIMLTDXKIPR-UHFFFAOYSA-N,No result,LMFA07010473,15609,Margaric acid,C17H34O2,270.2559,Saturated FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
isobutyrylcarnitine,increased,blood,,17-85,Humans,LRCNOZRCYBNMEP-UHFFFAOYSA-N,No result,No result,10177002,CAR 3:0;2Me,C11H21NO4,231.1471,Acyl carnitines,HMDB0000736,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
myristate (14:0),increased,blood,,17-85,Humans,DZKXJUASMGQEMA-UHFFFAOYSA-N,No result,LMFA07010035,18605,Myristic acid,C14H28O2,228.2089,Saturated FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
decanoylcarnitine,increased,blood,,17-85,Humans,LZOSYCMHQXPBFU-UHFFFAOYSA-N,No result,No result,10245190,CAR 10:0,C17H33NO4,315.241,Acyl carnitines,HMDB0000651,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
mannose,increased,blood,,17-85,Humans,WQZGKKKJIJFFOK-QTVWNMPRSA-N,C00159,No result,18950,Mannose,C6H12O6,180.0634,Hexoses,HMDB0000169,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
1-stearoylglycerol (1-monostearin),increased,blood,,17-85,Humans,VBICKXHEKHSIBG-UHFFFAOYSA-N,D01947,LMGL01010003,24699,MG 18:0/0:0/0:0,C21H42O4,358.3083,MAG,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
1-palmitoylglycerol (1-monopalmitin),increased,blood,,17-85,Humans,QHZLMUACJMDIAE-UHFFFAOYSA-N,No result,LMGL01010001,14900,MG 16:0/0:0/0:0,C19H38O4,330.277,MAG,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
gamma-glutamylleucine,increased,blood,,17-85,Humans,MYFMARDICOWMQP-YUMQZZPRSA-N,No result,No result,151023,gamma-Glutamylleucine,C11H20N2O5,260.1372,Dipeptides,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
lysine,increased,blood,,17-85,Humans,KDXKERNSBIXSRK-YFKPBYRVSA-N,C00047,No result,5962,Lysine,C6H14N2O2,146.1055,Amino acids,HMDB0000182,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
gamma-glutamylvaline,increased,blood,,17-85,Humans,AQAKHZVPOOGUCK-XPUUQOCRSA-N,No result,No result,7015683,gamma-Glutamylvaline,C10H18N2O5,246.1216,Dipeptides,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
glutamine,increased,blood,,17-85,Humans,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C00064,No result,5961,Glutamine,C5H10N2O3,146.0691,Amino acids,HMDB0000641,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
p-cresol sulfate,increased,blood,,17-85,Humans,WGNAKZGUSRVWRH-UHFFFAOYSA-N,No result,No result,4615423,p-Cresol sulfate,C7H8O4S,188.0143,Phenylsulfates,HMDB0011635,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
"1,7-dimethylurate",increased,blood,,17-85,Humans,NOFNCLGCUJJPKU-UHFFFAOYSA-N,C16356,No result,91611,"1,7-Dimethyluric acid",C7H8N4O3,196.0596,Xanthines,HMDB0011103,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
stearidonate (18:4n3),increased,blood,,17-85,Humans,JIWBIWFOSCKQMA-LTKCOYKYSA-M,No result,No result,25245840,Stearidonic acid,C18H28O2,276.2089,Unsaturated FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
laurate (12:0),increased,blood,,17-85,Humans,RMLFYKFCGMSLTB-ZBDFTZOCSA-N,No result,LMST01020001,102182,Lauric acid,C12H24O2,200.1776,Saturated FA,HMDB0002262,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
3-dehydrocarnitine,increased,blood,,17-85,Humans,YNOWULSFLVIUDH-UHFFFAOYSA-N,No result,No result,6991982,3-Dehydrocarnitine,C7H13NO3,159.0895,Beta-keto acids,HMDB0012154,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
hippurate,increased,blood,,17-85,Humans,QIAFMBKCNZACKA-UHFFFAOYSA-N,C01586,No result,464,Hippuric acid,C9H9NO3,179.0582,Hippuric acids,HMDB0000714,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
10-heptadecenoate (17:1n7),increased,blood,,17-85,Humans,GDTXICBNEOEPAZ-BQYQJAHWSA-M,No result,No result,57455226,10Z-Heptadecenoic acid,C17H32O2,268.2402,Unsaturated FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
4-acetamidobutanoate,increased,blood,,17-85,Humans,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C02946,No result,18189,4-Acetamidobutanoic acid,C6H11NO3,145.0739,Amino acids,HMDB0003681,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
phosphate,increased,blood,,17-85,Humans,NBIIXXVUZAFLBC-UHFFFAOYSA-K,No result,No result,1061,Phosphoric acid,PH3O4,97.9769,Non-metal phosphates,HMDB0001429,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
2-hydroxybutyrate (AHB),increased,blood,,17-85,Humans,AFENDNXGAFYKQO-VKHMYHEASA-N,C05984,LMFA01050342,440864,2S-Hydroxybutyric acid,C4H8O3,104.0473,Hydroxy FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
pantothenate,increased,blood,,17-85,Humans,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C00864,No result,6613,Pantothenic acid,C9H17NO5,219.1107,Amino acids,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
glutamate,increased,blood,,17-85,Humans,WHUUTDBJXJRKMK-UHFFFAOYSA-N,C00302,No result,57397101,Glutamic acid,C5H9NO4,147.0532,Amino acids,HMDB0060475,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
docosahexaenoate (DHA; 22:6n3),increased,blood,,17-85,Humans,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C06429,LMFA01030185,445580,DHA,C22H32O2,328.2402,Unsaturated FA,HMDB0002183,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
dodecanedioate,increased,blood,,17-85,Humans,TVIDDXQYHWJXFK-UHFFFAOYSA-L,No result,No result,6991984,Dodecanedioic acid,C12H22O4,230.1518,Dicarboxylic acids,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
glycerol,increased,blood,,17-85,Humans,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C00116,No result,753,Glycerol,C3H8O3,92.0473,Sugar alcohols,HMDB0000131,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
erythronate,increased,blood,,17-85,Humans,JPIJQSOTBSSVTP-PWNYCUMCSA-N,No result,No result,2781043,Erythronic acid,C4H8O5,136.0372,Sugar acids,HMDB0000613,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
glucose,increased,blood,,17-85,Humans,WQZGKKKJIJFFOK-GASJEMHNSA-N,C00031,No result,5793,Glucose,C6H12O6,180.0634,Hexoses,HMDB0000122,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
arabinose,increased,blood,,17-85,Humans,SRBFZHDQGSBBOR-HWQSCIPKSA-N,C00259,No result,439195,Arabinose,C5H10O5,150.0528,Pentoses,HMDB0000646,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
N-acetylalanine,increased,blood,,17-85,Humans,KTHDTJVBEPMMGL-VKHMYHEASA-N,No result,No result,88064,N-Acetylalanine,C5H9NO3,131.0582,Amino acids,HMDB0000766,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
2-hydroxyisobutyrate,increased,blood,,17-85,Humans,BWLBGMIXKSTLSX-UHFFFAOYSA-M,No result,No result,4277439,2-Hydroxyisobutyric acid,C4H8O3,104.0473,Hydroxy FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
pentadecanoate (15:0),increased,blood,,17-85,Humans,BDBPUUADYAQHAV-LNVIZZJGSA-N,No result,LMST01020027,24779606,Pentadecylic acid,C15H30O2,242.2246,Saturated FA,HMDB0060057,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
acetylcarnitine,increased,blood,,17-85,Humans,RDHQFKQIGNGIED-UHFFFAOYSA-N,No result,No result,1,CAR 2:0,C9H17NO4,203.1158,Acyl carnitines,HMDB0000201,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
tyrosine,increased,blood,,17-85,Humans,OUYCCCASQSFEME-QMMMGPOBSA-N,C00082,No result,6057,Tyrosine,C9H11NO3,181.0739,Amino acids,HMDB0000158,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
propionylcarnitine,increased,blood,,17-85,Humans,UFAHZIUFPNSHSL-UHFFFAOYSA-N,C03017,No result,107738,CAR 3:0,C10H19NO4,217.1314,Acyl carnitines,HMDB0000824,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
kynurenine,increased,blood,,17-85,Humans,YGPSJZOEDVAXAB-UHFFFAOYSA-N,C01718,No result,25245862,Kynurenine,C10H12N2O3,208.0848,Butyrophenones,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
acetylphosphate,increased,blood,,17-85,Humans,LIPOUNRJVLNBCD-UHFFFAOYSA-N,C00227,No result,186,Acetylphosphate,C2H5O5P,139.9875,Phosphate esters,HMDB0001494,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
gamma-glutamylphenylalanine,increased,blood,,17-85,Humans,XHHOHZPNYFQJKL-QWRGUYRKSA-N,No result,No result,111299,gamma-Glutamylphenylalanine,C14H18N2O5,294.1216,Dipeptides,HMDB0000594,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
docosapentaenoate (n3 DPA; 22:5n3),increased,blood,,17-85,Humans,XOLZNHXNFMEUGA-MCPSVCLNSA-N,No result,No result,53480463,DPA,C22H34O2,330.2559,Unsaturated FA,HMDB0010375,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
alpha-tocopherol,increased,blood,,17-85,Humans,GVJHHUAWPYXKBD-IEOSBIPESA-N,C02477,LMPR02020001,14985,alpha-Tocopherol,C29H50O2,430.3811,Vitamin E,HMDB0001893,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
citrate,increased,blood,,17-85,Humans,KRKNYBCHXYNGOX-UHFFFAOYSA-K,No result,No result,31348,Citric acid,C6H8O7,192.027,TCA acids,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
eicosapentaenoate (EPA; 20:5n3),increased,blood,,17-85,Humans,JAZBEHYOTPTENJ-JLNKQSITSA-M,No result,No result,25245749,Eicosapentaenoic acid,C20H30O2,302.2246,Unsaturated FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
octanoylcarnitine,increased,blood,,17-85,Humans,CXTATJFJDMJMIY-UHFFFAOYSA-N,No result,No result,123701,CAR 8:0,C15H29NO4,287.2097,Acyl carnitines,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
phenylacetylglutamine,increased,blood,,17-85,Humans,JFLIEFSWGNOPJJ-JTQLQIEISA-N,C04148,No result,92258,alpha-N-Phenylacetylglutamine,C13H16N2O4,264.111,Amino acids,HMDB0006344,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
urea,increased,blood,,17-85,Humans,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C00086,No result,1176,Urea,CH4N2O,60.0324,Isoureas,HMDB0000294,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
succinylcarnitine,increased,blood,,17-85,Humans,HAEVNYBCYZZDFL-UHFFFAOYSA-N,No result,No result,71464481,CAR DC4:0,C11H19NO6,261.1212,Acyl carnitines,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
hexanoylcarnitine,increased,blood,,17-85,Humans,VVPRQWTYSNDTEA-UHFFFAOYSA-N,No result,No result,6426853,CAR 6:0,C13H25NO4,259.1784,Acyl carnitines,HMDB0000705,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
palmitoyl sphingomyelin,increased,blood,,17-85,Humans,RWKUXQNLWDTSLO-GWQJGLRPSA-N,No result,LMSP03010003,9939941,SM 18:1;O2/16:0,C39H79N2O6P,702.5676,SM,HMDB0061712,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
gamma-glutamyltyrosine,increased,blood,,17-85,Humans,VVLXCWVSSLFQDS-QWRGUYRKSA-N,No result,No result,94340,gamma-Glutamyltyrosine,C14H18N2O6,310.1165,Dipeptides,HMDB0011741,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
cholesterol,increased,blood,,17-85,Humans,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C00187,LMST01010001,5997,Cholesterol,C27H46O,386.3549,Cholesterols,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
erythritol,increased,blood,,17-85,Humans,UNXHWFMMPAWVPI-ZXZARUISSA-N,C00503,No result,222285,Erythritol,C4H10O4,122.0579,Sugar alcohols,HMDB0002994,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
myo-inositol,increased,blood,,17-85,Humans,CDAISMWEOUEBRE-UHFFFAOYSA-N,No result,No result,892,Myo-inositol,C6H12O6,180.0634,Inositols,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
threitol,increased,blood,,17-85,Humans,UNXHWFMMPAWVPI-QWWZWVQMSA-N,C16884,No result,169019,Threitol,C4H10O4,122.0579,Sugar alcohols,HMDB0004136,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
citrulline,increased,blood,,17-85,Humans,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C00327,No result,6992098,Citrulline,C6H13N3O3,175.0957,Amino acids,HMDB0000904,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),increased,blood,,17-85,Humans,JAZBEHYOTPTENJ-JLNKQSITSA-M,No result,No result,25245749,3-Carboxy-4-methyl-5-propyl-2-furanpropanoic acid,C12H16O5,240.0998,Heterocyclic FA,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
C-glycosyltryptophan,increased,blood,,17-85,Humans,CPXSBHKDEPPWIX-NJORQXHJSA-N,No result,No result,21775807,C-Glycosyltryptophan,C17H22N2O7,366.1427,Amino acids,No result,https://doi.org/10.1093/ije/dyt094,Metabolomic markers reveal novel pathways of ageing and early development in human populations
glutamate,increased,serum,,55-65,Humans,WHUUTDBJXJRKMK-UHFFFAOYSA-N,C00302,No result,57397101,Glutamic acid,C5H9NO4,147.0532,Amino acids,HMDB0060475,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
N-acetylglutamine,increased,serum,,55-65,Humans,KSMRODHGGIIXDV-YFKPBYRVSA-N,D07063,No result,182230,N-Acetylglutamine,C7H12N2O4,188.0797,Amino acids,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
N-acetylhistidine,increased,serum,,55-65,Humans,KBOJOGQFRVVWBH-ZETCQYMHSA-N,C02997,No result,51669405,N-Acetylhistidine,C8H11N3O3,197.08,Amino acids,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
cystine,increased,serum,,55-65,Humans,LEVWYRKDKASIDU-UHFFFAOYSA-N,C01420,No result,24798687,Cystine,C6H12N2O4S2,240.0239,Amino acids,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
gamma-glutamyltyrosine,increased,serum,,55-65,Humans,VVLXCWVSSLFQDS-QWRGUYRKSA-N,No result,No result,94340,gamma-Glutamyltyrosine,C14H18N2O6,310.1165,Dipeptides,HMDB0011741,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
threitol,increased,serum,,55-65,Humans,UNXHWFMMPAWVPI-QWWZWVQMSA-N,C16884,No result,169019,Threitol,C4H10O4,122.0579,Sugar alcohols,HMDB0004136,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
arabitol,increased,serum,,55-65,Humans,HEBKCHPVOIAQTA-QWWZWVQMSA-N,C01904,No result,94200,Arabitol,C5H12O5,152.0685,Sugar alcohols,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
erythronate,increased,serum,,55-65,Humans,JPIJQSOTBSSVTP-PWNYCUMCSA-N,No result,No result,2781043,Erythronic acid,C4H8O5,136.0372,Sugar acids,HMDB0000613,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
eicosapentaenoate(EPA;20:5n3),increased,serum,,55-65,Humans,JAZBEHYOTPTENJ-JLNKQSITSA-M,No result,No result,25245749,Eicosapentaenoic acid,C20H30O2,302.2246,Unsaturated FA,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
docosahexaenoate (DHA; 22:6n3),increased,serum,,55-65,Humans,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C06429,LMFA01030185,445580,DHA,C22H32O2,328.2402,Unsaturated FA,HMDB0002183,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
inositol 1-phosphate (I1P),increased,serum,,55-65,Humans,INAPMGSXUVUWAF-GCVPSNMTSA-N,No result,No result,107737,-,,,,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
palmitoyl-oleoyl-glycerophosphoglycerol,increased,serum,,55-65,Humans,WPSSBBPLVMTKRN-UHFFFAOYSA-N/DCICDMMXFIELDF-UHFFFAOYSA-N,No result/No result,No result/No result,88412/10855600,PG 16:0_18:1,C40H77O10P,748.5254,PG,HMDB0000808/HMDB0000730,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
1-docosahexaenoylglycerol,increased,serum,,55-65,Humans,XSQSIJOKSPPKKS-UHFFFAOYSA-N,No result,No result,124000000,-,,,,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
cholesterol,increased,serum,,55-65,Humans,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C00187,LMST01010001,5997,Cholesterol,C27H46O,386.3549,Cholesterols,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
"N2,N2-dimethylguanosine",increased,serum,,55-65,Humans,RSPURTUNRHNVGF-IOSLPCCCSA-N,No result,No result,92919,"N2,N2-Dimethylguanosine",C12H17N5O5,311.123,Purine ribonucleosides,HMDB0004824,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
pregnenolone sulfate,decreased,serum,,55-65,Humans,DIJBBUIOWGGQOP-QGVNFLHTSA-N,C18044,LMST05020014,105074,Pregnenolone sulfate,C21H32O5S,396.197,Sulfate conjugates,HMDB0060382,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
21-hydroxypregnenolone disulfate,decreased,serum,,55-65,Humans,CBOVWLYQUCVTFA-WPWXJNKXSA-L,No result,No result,No result,21-Hydroxypregnenolone,C21H32O3,332.2351,C21 steroids,No result,https://doi.org/10.1248/bpb.b16-00226,Gender- and Age-Associated Differences in Serum Metabolite Profiles among Japanese Populations
